Model_1,Model_2,Column,Kappa_Subset,CI_Lower,CI_Upper,N_Valid
GPT-4o,GPT-5.2,T1,0.8504672897196262,0.6235072142064373,1.0,24
GPT-4o,GPT-5.2,T2,0.7777777777777778,0.40740740740740744,1.0,24
GPT-4o,Gemini-3,T1,0.6799999999999999,0.37249758919961434,0.9192054322489105,24
GPT-4o,Gemini-3,T2,0.7777777777777778,,,24
GPT-4o,Sonnet-4.5,T1,0.8048780487804879,0.508053992333415,1.0,20
GPT-4o,Sonnet-4.5,T2,0.736842105263158,,,20
GPT-4o,Human,T1,0.7628865979381443,0.4831460674157304,1.0,23
GPT-4o,Human,T2,0.32748538011695905,-0.13141495174979642,0.7472527472527473,23
GPT-5.2,Gemini-3,T1,0.7583333333333333,0.49743077331423924,0.9420115079365079,29
GPT-5.2,Gemini-3,T2,0.9102167182662538,0.6692015209125475,1.0,29
GPT-5.2,Sonnet-4.5,T1,0.9090909090909091,0.6585133881230117,1.0,21
GPT-5.2,Sonnet-4.5,T2,0.8771929824561403,,,21
GPT-5.2,Human,T1,0.7760617760617761,0.5346968259444541,0.9457029781546301,29
GPT-5.2,Human,T2,0.2983870967741935,-0.11538461538461542,0.6692015209125475,29
Gemini-3,Sonnet-4.5,T1,0.8067632850241546,0.45945945945945954,1.0,20
Gemini-3,Sonnet-4.5,T2,0.875,,,20
Gemini-3,Human,T1,0.8840579710144928,0.711919307623775,1.0,28
Gemini-3,Human,T2,0.17647058823529405,-0.179896283491789,0.5454545454545454,28
Sonnet-4.5,Human,T1,0.819047619047619,0.5249999999999999,1.0,19
Sonnet-4.5,Human,T2,0.2962962962962963,-0.16326530612244894,0.7597834375476588,19
